cisco,lake.trout,walleye,chaoborus.larvae,leptodora,mysis,cladocera,copepoda,rotifera
0,0.9,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.03,0.06,0,0,0,0,0,0,0
0.04,0.01,0,0,0,0,0,0,0
0.03,0.03,0,0,0,0,0,0,0
0.4,0,0,0.5,0.5,0.4,0,0,0
0.4,0,0,0.5,0,0.3,0,0,0
0.1,0,0,0,0.5,0.3,0,0,0
