cisco,lake.trout,walleye,bythotrephes,chaoborus.larvae,leptodora,mysis,cladocera,copepoda,rotifera
0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,0,0,0
1,0,0,1,1,0,1,0,0,0
1,0,0,0,0,1,1,0,0,0
