lake,year,spp,density_perhec,length_mm.avg,log10.g,biomass_g,biomass_mg,biomass.g_perhec,biomass.mg_perhec,biomass.kg_perhec
Trout,2001,cisco,3972.93853817376,134.43183365762332,1.2508402096864444,17.817230960412246,17817.230960412246,70786.76352616449,70786763.52616449,70.78676352616449
Trout,2001,lake.trout,0,NA,NA,NA,NA,NA,NA,NA
Trout,2001,walleye,0,NA,NA,NA,NA,NA,NA,NA
Trout,2002,cisco,2983.89170915315,137.00914153486414,1.2765685478307756,18.90464593303209,18904.64593303209,56409.41626405026,56409416.26405027,56.409416264050265
Trout,2002,lake.trout,0,NA,NA,NA,NA,NA,NA,NA
Trout,2002,walleye,0,NA,NA,NA,NA,NA,NA,NA
Trout,2003,cisco,4428.8260045356,120.81208231848933,1.1061183076245893,12.767865751783365,12767.865751783365,56546.655863917644,56546655.86391765,56.54665586391765
Trout,2003,lake.trout,0,NA,NA,NA,NA,NA,NA,NA
Trout,2003,walleye,0,NA,NA,NA,NA,NA,NA,NA
Trout,2004,cisco,25462.319014191,83.62123078653795,0.607631756078197,4.051648452340735,4051.648452340735,103164.36542685304,103164365.42685303,103.16436542685302
Trout,2004,lake.trout,0,NA,NA,NA,NA,NA,NA,NA
Trout,2004,walleye,0,NA,NA,NA,NA,NA,NA,NA
Trout,2005,cisco,6825.66009584287,108.57219482181603,0.9613964055627342,9.149479861251727,9149.479861251728,62451.23958666387,62451239.58666388,62.45123958666388
Trout,2005,lake.trout,0,NA,NA,NA,NA,NA,NA,NA
Trout,2005,walleye,0,NA,NA,NA,NA,NA,NA,NA
Trout,2006,cisco,8141.99728330095,97.57237241678042,0.8166745035008782,6.556536805672322,6556.536805672322,53383.304859646734,53383304.85964673,53.38330485964673
Trout,2006,lake.trout,0,NA,NA,NA,NA,NA,NA,NA
Trout,2006,walleye,0,NA,NA,NA,NA,NA,NA,NA
Trout,2007,cisco,1259.8482693855,139.470225767291,1.300688864841085,19.98429651326512,19984.296513265122,25177.181377123747,25177181.377123747,25.17718137712375
Trout,2007,lake.trout,74.9909684130733,558.5458424836571,3.124483588158804,1331.9367079255937,1331936.7079255937,99883.22359226104,99883223.59226105,99.88322359226105
Trout,2007,walleye,104.987355782421,301.3128035811962,2.3535490983471057,225.70911522755296,225709.11522755295,23696.60318373056,23696603.18373056,23.696603183730563
Trout,2008,cisco,574.607639446772,156.8600798497689,1.4598829571091256,28.832543578557008,28832.543578557008,16567.399804920828,16567399.804920828,16.56739980492083
Trout,2008,lake.trout,40.6360241289834,514.0156586582166,3.0127350830041637,1029.757782827781,1029757.782827781,41845.26210999816,41845262.10999816,41.84526210999816
Trout,2008,walleye,43.4876749450245,294.2444690067513,2.321750057109991,209.77322602495056,209773.22602495056,9122.549865542203,9122549.865542205,9.122549865542204
Trout,2009,cisco,417.170943474719,176.62770398659956,1.620685070511188,41.752748597355904,41752.7485973559,17418.033525021714,17418033.525021713,17.418033525021713
Trout,2009,lake.trout,79.5405932223486,435.3227868983554,2.7892380726948867,615.5141944394788,615514.1944394788,48958.36416249217,48958364.16249217,48.958364162492174
Trout,2009,walleye,59.516387935685,258.23034597925556,2.1468553303058684,140.23464851062812,140234.64851062812,8346.259742782975,8346259.742782975,8.346259742782975
Trout,2010,cisco,629.766177685187,174.5437025602732,1.6046048591709807,40.23507907290984,40235.07907290984,25338.691956607687,25338691.956607684,25.338691956607686
Trout,2010,lake.trout,52.3522005907054,467.45438263154364,2.885022505684577,767.4012560266972,767401.2560266972,40175.14448906892,40175144.489068925,40.17514448906893
Trout,2010,walleye,46.9630034694889,294.2444690067513,2.321750057109991,209.77322602495056,209773.22602495056,9851.580741615633,9851580.741615633,9.851580741615633
Trout,2011,cisco,148.268041156265,185.21552210862225,1.6850059158720123,48.417896292755046,48417.896292755046,7178.826640233976,7178826.640233977,7.178826640233977
Trout,2011,lake.trout,91.5773195369216,425.11078439097406,2.7573099283649904,571.886610202821,571886.610202821,52371.84284143067,52371842.84143067,52.37184284143067
Trout,2011,walleye,91.5773195369216,319.73544398734464,2.4330467014398893,271.0483085414632,271048.3085414632,24821.877561243695,24821877.561243694,24.821877561243696
Trout,2012,cisco,446.3835,185.21552210862225,1.6850059158720123,48.417896292755046,48417.896292755046,21612.950009797023,21612950.00979702,21.61295000979702
Trout,2012,lake.trout,35.84101,507.9508718687159,2.9967710108392156,992.5925490976393,992592.5490976394,35575.51947813398,35575519.478133984,35.575519478133984
Trout,2012,walleye,16.29137,343.33542620047797,2.5284438251512285,337.63217398396864,337632.1739839686,5500.490670277208,5500490.670277207,5.500490670277207
Trout,2013,cisco,1619.63485843531,137.66115239709094,1.283000632366858,19.18671534404626,19186.71534404626,31075.472990092952,31075472.990092956,31.075472990092955
Trout,2013,lake.trout,49.186308062078,451.1025876616246,2.837130289189731,687.274592804881,687274.5928048809,33804.49984494009,33804499.84494009,33.80449984494009
Trout,2013,walleye,45.6730003454469,327.4161222377803,2.464845742677001,291.63909553234174,291639.09553234174,13320.032510994466,13320032.510994466,13.320032510994466
Trout,2014,cisco,2647.51,128.19868362722457,1.18651936432562,15.364532991955576,15364.532991955575,40677.75474153231,40677754.74153231,40.67775474153231
Trout,2014,lake.trout,0,NA,NA,NA,NA,NA,NA,NA
Trout,2014,walleye,0,NA,NA,NA,NA,NA,NA,NA
Trout,2015,cisco,1194.47257451732,146.07792685328894,1.3634016890678886,23.088817398450736,23088.817398450738,27578.959160487742,27578959.160487745,27.578959160487745
