year,spp,biomass.g_perhec,bodymass_g,met.type,org.type,losses,efficiencies
2015,cisco,27578.95917163225,23.088817398450736,Ectothermic.vertebrate,animal,7.314883084003109,0.906
2015,lake.trout,26238.499035298468,825.9440901188402,Ectothermic.vertebrate,animal,2.5922578027192986,0.906
2015,walleye,1734.192824242603,194.9624688952016,Ectothermic.vertebrate,animal,3.940107619879567,0.906
2015,bythotrephes,7.877879608666774,1.9223717932324977e-5,Invertebrate,animal,423.91719914357236,0.906
2015,chaoborus.larvae,1.9961903078896752,1.0992237378247112e-4,Invertebrate,animal,255.6694930674443,0.906
2015,leptodora,0.07813622643811179,4.6509658594114166e-5,Invertebrate,animal,328.1001016458851,0.906
2015,mysis,828.8494932298797,0.00102140470896372,Invertebrate,animal,133.94499819431567,0.906
2015,cladocera,5310.6649284465,5.3577310057499995e-6,Invertebrate,animal,614.0297541648409,0.906
2015,copepoda,16141.885706446501,3.16412498305e-6,Invertebrate,animal,715.3528738796498,0.906
2015,rotifera,1684.9838330114999,4.873627055441178e-8,Invertebrate,animal,2399.47767757703,0.906
2016,cisco,81792.01738970066,33.43519053812231,Ectothermic.vertebrate,animal,6.570142304585487,0.906
2016,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2016,walleye,0,0,Ectothermic.vertebrate,animal,0,0.906
2016,bythotrephes,30.51211881538461,1.7273813570910343e-5,Invertebrate,animal,437.2716212545292,0.906
2016,chaoborus.larvae,23.46848825477057,1.0833943428478704e-4,Invertebrate,animal,256.74723514360113,0.906
2016,leptodora,28.034213956158084,5.4973358608828305e-5,Invertebrate,animal,312.5717471373687,0.906
2016,mysis,688.0394192575812,0.00102395960838405,Invertebrate,animal,133.84799175994812,0.906
2016,cladocera,11631.4042281465,4.776186191033333e-6,Invertebrate,animal,634.8342023529344,0.906
2016,copepoda,25231.605509659505,3.2189293971875e-6,Invertebrate,animal,711.7993024324546,0.906
2016,rotifera,1908.7580093084998,6.084697485119048e-8,Invertebrate,animal,2249.907023585685,0.906
2017,cisco,44109.1584320687,13.24947039107301,Ectothermic.vertebrate,animal,8.593227475920626,0.906
